topic,tweetID
00ecb565-8dcb-443e-875c-71babdce2269,643685734352842752
00ecb565-8dcb-443e-875c-71babdce2269,644484687637843968
00ecb565-8dcb-443e-875c-71babdce2269,645706824293855234
00ecb565-8dcb-443e-875c-71babdce2269,645936801232912384
da45ca1d-a57f-4a8f-a99f-9c9a63310b0c,648669444768567300
da45ca1d-a57f-4a8f-a99f-9c9a63310b0c,638708648345251840
da45ca1d-a57f-4a8f-a99f-9c9a63310b0c,639137158767464448
da45ca1d-a57f-4a8f-a99f-9c9a63310b0c,641120056827473920
da45ca1d-a57f-4a8f-a99f-9c9a63310b0c,641527904942161920
da45ca1d-a57f-4a8f-a99f-9c9a63310b0c,647849453957722112
0429b914-907a-4d79-aed8-5e2a7ebaa230,639427129072070656
0429b914-907a-4d79-aed8-5e2a7ebaa230,639485651511980032
0429b914-907a-4d79-aed8-5e2a7ebaa230,639666226097065986
0429b914-907a-4d79-aed8-5e2a7ebaa230,640163283572494336
0429b914-907a-4d79-aed8-5e2a7ebaa230,640184391583535104
0429b914-907a-4d79-aed8-5e2a7ebaa230,640185557428097028
0429b914-907a-4d79-aed8-5e2a7ebaa230,640203431362306050
0429b914-907a-4d79-aed8-5e2a7ebaa230,640229308829593600
0429b914-907a-4d79-aed8-5e2a7ebaa230,640230757726687232
0429b914-907a-4d79-aed8-5e2a7ebaa230,640403024494596096
0429b914-907a-4d79-aed8-5e2a7ebaa230,644901819227983872
0429b914-907a-4d79-aed8-5e2a7ebaa230,644953203273019392
0429b914-907a-4d79-aed8-5e2a7ebaa230,645072337784729600
203806f6-13f7-4edb-9d8b-d0d063285081,639507736078618624
203806f6-13f7-4edb-9d8b-d0d063285081,644986755683192832
203806f6-13f7-4edb-9d8b-d0d063285081,642894977299714049
203806f6-13f7-4edb-9d8b-d0d063285081,643179289114886144
203806f6-13f7-4edb-9d8b-d0d063285081,643458702033428481
203806f6-13f7-4edb-9d8b-d0d063285081,643649115016945665
203806f6-13f7-4edb-9d8b-d0d063285081,643950852680585217
203806f6-13f7-4edb-9d8b-d0d063285081,644117205962067969
203806f6-13f7-4edb-9d8b-d0d063285081,644759806780252160
203806f6-13f7-4edb-9d8b-d0d063285081,644870899166875648
203806f6-13f7-4edb-9d8b-d0d063285081,644955395279208448
203806f6-13f7-4edb-9d8b-d0d063285081,644957984959950848
203806f6-13f7-4edb-9d8b-d0d063285081,644958657273307136
203806f6-13f7-4edb-9d8b-d0d063285081,644981034178711552
203806f6-13f7-4edb-9d8b-d0d063285081,645015436589932544
203806f6-13f7-4edb-9d8b-d0d063285081,645134369653309440
