Precision	Recall	Confidence
1	0.0	0.8733624454148472
0.75	0.00027624309392265195	0.8333333333333334
0.75	0.00027624309392265195	0.8583690987124464
0.75	0.00027624309392265195	0.8620689655172414
0.75	0.00027624309392265195	0.8658008658008658
0.775	0.0006936771025168816	0.8230452674897119
0.775	0.0006936771025168816	0.8264462809917356
0.725	0.0011643134847554738	0.8130081300813008
0.725	0.0011643134847554738	0.8163265306122448
0.7804545454545455	0.002105586249232658	0.8097165991902834
0.7985269360269359	0.0024329854716595043	0.8032128514056224
0.7987373737373737	0.0027276447718436667	0.8
0.823895202020202	0.0030959688970738693	0.7968127490039841
0.7562213039485767	0.003996316758747698	0.7905138339920947
0.8318434343434344	0.003996316758747698	0.7936507936507936
0.7489357864357863	0.004568231032319431	0.7843137254901962
0.730124659291326	0.005311018018200339	0.7722007722007722
0.7377496772233614	0.005568844905861481	0.7692307692307692
0.7224328581471439	0.006138870337765365	0.7633587786259541
0.7224328581471439	0.006138870337765365	0.7662835249042146
0.7260553549015089	0.007317507538502015	0.7604562737642586
0.7496183446183446	0.008657798105311917	0.7575757575757576
0.7358178371336266	0.011473285257815644	0.7547169811320755
0.7467542180042179	0.01204251345135323	0.7518796992481203
0.7606472339030479	0.013249053994910347	0.7490636704119851
0.7604052513143422	0.013551268661765897	0.7462686567164178
0.7403947163947161	0.014312764174642625	0.7434944237918216
0.7361783515629667	0.015575111403840684	0.7407407407407407
0.7364391373825333	0.016182846210470517	0.7380073800738007
0.7343993238730077	0.01789276305850892	0.7352941176470589
0.7276793576793573	0.019479390059500556	0.7326007326007326
0.727284944993278	0.023213881473549986	0.7299270072992701
0.733501854798151	0.025620975607163452	0.7272727272727273
0.7346984061689943	0.02769458033270188	0.7246376811594204
0.7363848698118359	0.029144703771775596	0.7220216606498195
0.725140993758015	0.0298173799373276	0.7194244604316546
0.7047756665103605	0.030150625574440638	0.7168458781362007
0.7138906844789199	0.03142617629750517	0.7142857142857143
0.7152616673450007	0.033168523371343954	0.7117437722419929
0.7213672021194146	0.0349330387822682	0.7092198581560283
0.712932357497575	0.03522155934703186	0.7067137809187279
0.7158451946913486	0.03582841719145877	0.7042253521126761
0.7066342768342767	0.03745834445674515	0.7017543859649122
0.703018964542402	0.03832892875274381	0.6993006993006994
0.6973695768659797	0.04139643521804033	0.6968641114982578
0.6895138270138269	0.04411469485293954	0.6944444444444444
0.6799223568454337	0.04520775969803559	0.6920415224913494
0.6747487846866728	0.046470585270253426	0.6896551724137931
0.6727576384088988	0.048185447401105155	0.6872852233676976
0.6749173444924128	0.049542640202886845	0.684931506849315
0.6734815879024403	0.05093767477146707	0.68259385665529
0.6720180463309681	0.052118650538078196	0.6802721088435374
0.6731609786545109	0.053758574547192996	0.6779661016949152
0.6740435937289029	0.05418512638339708	0.6756756756756757
0.6724435564603846	0.0547208705655501	0.6734006734006734
0.674443253732469	0.05680343655695586	0.6711409395973155
0.6771770506882617	0.05812374445834925	0.6688963210702341
0.6707307041406304	0.05911985549833419	0.6666666666666666
0.6619153965450508	0.06087630653655318	0.6644518272425249
0.6653178856686143	0.06289433346683232	0.6622516556291391
0.6584562162116675	0.06392978665698161	0.6600660066006601
0.6514292906680805	0.06657195617272926	0.6578947368421053
0.6499653173623762	0.06818124747002838	0.6557377049180328
0.6539917378755843	0.07089818880575424	0.6535947712418301
0.6581410654144413	0.07543103020105564	0.6514657980456026
0.6573251264981183	0.0783132462048186	0.6493506493506493
0.6571626983261778	0.07951197381238598	0.6472491909385114
0.6593420223567281	0.08077639073491145	0.6451612903225806
